ICDNames,ICDCode
Mucocutaneous leishmaniasis,1F54.2
"Leishmaniasis, unspecified",1F54.Z
Naegleriasis,1F55
Rhinosporidiosis,1F56
Toxoplasmosis,1F57
Hepatitis due to Toxoplasma gondii,1F57.0
Meningoencephalitis due to Toxoplasma gondii,1F57.1
Pulmonary toxoplasmosis due to Toxoplasma gondii,1F57.2
Eye disease due to Toxoplasma gondii,1F57.3
Other specified toxoplasmosis,1F57.Y
"Toxoplasmosis, unspecified",1F57.Z
Microsporidiosis,1F58
Unspecified protozoal disease,1F5Z
Angiostrongyliasis,1F60
Eosinophilic meningitis due to Angiostrongylus cantonensis,1F60.0
Intestinal angiostrongyliasis,1F60.1
Other specified angiostrongyliasis,1F60.Y
"Angiostrongyliasis, unspecified",1F60.Z
Anisakiasis,1F61
Ascariasis,1F62
Capillariasis,1F63
Capillariasis of the intestine,1F63.0
Other specified capillariasis,1F63.Y
"Capillariasis, unspecified",1F63.Z
Dracunculiasis,1F64
Enterobiasis,1F65
Filariasis,1F66
Loiasis,1F66.0
Mansonelliasis,1F66.1
Filariasis due to Brugia species,1F66.2
Lymphatic filariasis,1F66.3
Subcutaneous dirofilariasis,1F66.4
Other specified filariasis,1F66.Y
"Filariasis, unspecified",1F66.Z
Gnathostomiasis,1F67
Hookworm diseases,1F68
Ancylostomiasis,1F68.0
Necatoriasis,1F68.1
Cutaneous larva migrans,1F68.2
Oesophagostomiasis,1F69
Onchocerciasis,1F6A
Onchocerciasis of the eye,1F6A.0
Onchocerciasis of the skin,1F6A.1
Other specified onchocerciasis,1F6A.Y
Strongyloidiasis,1F6B
Syngamosis,1F6C
Toxocariasis,1F6D
Trichinosis,1F6E
Trichostrongyliasis,1F6F
Trichuriasis,1F6G
Uncinariosis,1F6H
Other specified diseases due to nematodes,1F6Y
"Diseases due to nematodes, unspecified",1F6Z
Cysticercosis,1F70
Cysticercosis of central nervous system,1F70.0
Cysticercosis of eye,1F70.1
Other specified cysticercosis,1F70.Y
"Cysticercosis, unspecified",1F70.Z
Diphyllobothriasis,1F71
Dipylidiasis,1F72
Echinococcosis,1F73
Echinococcus infection of liver,1F73.0
Echinococcus infection of lung,1F73.1
Echinococcus infection of bone,1F73.2
Echinococcus infection of central nervous system,1F73.3
Other specified echinococcosis,1F73.Y
"Echinococcosis, unspecified",1F73.Z
Hymenolepiasis,1F74
Sparganosis,1F75
Taeniasis,1F76
Taeniasis due to Taenia solium,1F76.0
Taeniasis due to Taenia saginata,1F76.1
Other specified taeniasis,1F76.Y
"Taeniasis, unspecified",1F76.Z
Other specified diseases due to cestodes,1F7Y
"Diseases due to cestodes, unspecified",1F7Z
Clonorchiasis,1F80
Dicrocoeliasis,1F81
Fascioliasis,1F82
Fasciolopsiasis,1F83
Opisthorchiasis,1F84
Paragonimiasis,1F85
Schistosomiasis,1F86
Schistosomiasis due to Schistosoma haematobium,1F86.0
Schistosomiasis due to Schistosoma mansoni,1F86.1
Schistosomiasis due to Schistosoma japonicum,1F86.2
Other schistosomiases,1F86.3
Cercarial dermatitis,1F86.4
Schistosomal pneumonitis,1F86.5
Schistosomiasis due to unspecified or unknown Schistosoma species,1F86.Z
Other specified diseases due to trematodes,1F8Y
"Diseases due to trematodes, unspecified",1F8Z
Other and unspecified infestation by parasitic worms,1F90
Mixed intestinal helminthiases,1F90.0
Intestinal parasitic infestation not otherwise specified,1F90.1
"Intestinal helminthiasis, unspecified",1F90.2
Other specified other and unspecified infestation by parasitic worms,1F90.Y
"Other and unspecified infestation by parasitic worms, unspecified",1F90.Z
Diphyllobothriasis and sparganosis,1F91
"Helminthiases, unspecified",1F9Z
Pediculosis,1G00
Pediculosis capitis,1G00.0
Pediculosis corporis,1G00.1
Pediculosis of unspecified site or type,1G00.Z
Myiasis,1G01
Ocular myiasis,1G01.0
Nasopharyngeal myiasis,1G01.1
Laryngeal myiasis,1G01.2
Cutaneous myiasis,1G01.3
Other specified myiasis,1G01.Y
"Myiasis, unspecified",1G01.Z
External hirudiniasis,1G02
Pthiriasis,1G03
Scabies,1G04
Classical scabies,1G04.0
Crusted scabies,1G04.1
Other and unspecified scabies,1G04.Y
Tungiasis,1G05
Cimicosis,1G06
Infestation by mites,1G07
Infestation by Demodex,1G07.0
Infestation of the skin by other specified parasitic mites,1G07.Y
Infestation by other specified ectoparasite,1G0Y
Infestation by unknown or unspecified ectoparasite,1G0Z
Other specified parasitic diseases,1G2Y
Unspecified parasitic diseases,1G2Z
Sepsis without septic shock,1G40
Sepsis with septic shock,1G41
Certain other disorders of infectious origin,1G60
Mycetoma of unknown or unspecified type,1G60.0
Pythiosis,1G60.1
Protothecosis,1G60.2
Other specified disorders of infectious origin not elsewhere classified,1G60.Y
Sequelae of tuberculosis,1G80
Sequelae of trachoma,1G81
Sequelae of leprosy,1G82
Sequelae of poliomyelitis,1G83
Sequelae of viral encephalitis,1G84
Sequelae of diphtheria,1G85
Sequelae of other specified infectious diseases,1G8Y
"Infection, unspecified",1H0Z
Primary neoplasms of brain,2A00
Gliomas of brain,2A00.0
Embryonal tumours of brain,2A00.1
Tumours of neuroepithelial tissue of brain,2A00.2
Central neurocytoma of brain,2A00.3
Astroblastoma of the brain,2A00.4
Primary neoplasm of brain of unknown or unspecified type,2A00.5
Primary neoplasms of meninges,2A01
Meningiomas,2A01.0
Mesenchymal tumours of meninges,2A01.1
Primary neoplasm of meninges of unknown or unspecified type,2A01.2
"Primary neoplasm of spinal cord, cranial nerves or remaining parts of central nervous system",2A02
"Gliomas of spinal cord, cranial nerves or other parts of the central nervous system",2A02.0
Tumours of cranial or paraspinal nerves,2A02.1
Primary neoplasm of spinal cord of unknown or unspecified type,2A02.2
Benign neoplasm of cranial nerves,2A02.3
Benign neoplasm of spinal cord,2A02.4
Other and unspecified neoplasms of brain or central nervous system,2A0Z
Non mast cell myeloproliferative neoplasms,2A20
"Chronic myelogenous leukaemia, BCR-ABL1-positive",2A20.0
Chronic neutrophilic leukaemia,2A20.1
Primary myelofibrosis,2A20.2
"Chronic eosinophilic leukaemia, not elsewhere classified",2A20.3
Polycythaemia vera,2A20.4
"Non mast cell myeloproliferative neoplasm, unclassifiable",2A20.5
Other specified non mast cell myeloproliferative neoplasms,2A20.Y
"Non mast cell myeloproliferative neoplasms, unspecified",2A20.Z
Mastocytosis,2A21
Systemic mastocytosis,2A21.0
Cutaneous mastocytosis,2A21.1
Mast cell sarcoma,2A21.2
Extracutaneous mastocytoma,2A21.3
Other specified mastocytosis,2A21.Y
"Mastocytosis, unspecified",2A21.Z
Other and unspecified myeloproliferative neoplasms,2A22
Refractory anaemia,2A30
Refractory neutropaenia,2A31
Refractory thrombocytopenia,2A32
Refractory anaemia with ring sideroblasts,2A33
Refractory cytopenia with multi-lineage dysplasia,2A34
Refractory anaemia with excess of blasts,2A35
Myelodysplastic syndrome with isolated del(5q),2A36
"Myelodysplastic syndrome, unclassifiable",2A37
Refractory cytopenia of childhood,2A38
Other specified myelodysplastic syndromes,2A3Y
"Myelodysplastic syndromes, unspecified",2A3Z
Chronic myelomonocytic leukaemia,2A40
"Atypical chronic myeloid leukaemia, BCR-ABL1- negative",2A41
Juvenile myelomonocytic leukaemia,2A42
Juvenile myelomonocytic leukaemia in complete remission,2A42.0
Other specified juvenile myelomonocytic leukaemia,2A42.Y
"Juvenile myelomonocytic leukaemia, unspecified",2A42.Z
Refractory anaemia with ring sideroblasts associated with marked thrombocytosis,2A43
"Myeloproliferative and myelodysplastic disease, unclassifiable",2A44
Other specified myelodysplastic and myeloproliferative neoplasms,2A4Y
"Myelodysplastic and myeloproliferative neoplasms, unspecified",2A4Z
Myeloid/lymphoid neoplasm associated with PDGFRA rearrangement,2A50
Myeloid neoplasm associated with PDGFRB rearrangement,2A51
Myeloid or lymphoid neoplasms with FGFR1 abnormalities,2A52
"Myeloid and lymphoid neoplasms with eosinophilia and abnormalities of PDGFRA, PDGFRB or FGFR1, unspecified",2A5Z
Acute myeloid leukaemias and related precursor neoplasms,2A60
Acute myeloid leukaemia with recurrent genetic abnormalities,2A60.0
Acute myeloid leukaemia with myelodysplasia-related changes,2A60.1
Therapy-related myeloid neoplasms,2A60.2
"Acute myeloid leukaemia, not elsewhere classified by criteria of other types",2A60.3
Myeloid proliferation associated with Down syndrome,2A60.4
Blastic plasmacytoid dendritic cell neoplasm,2A60.5
Other specified acute myeloid leukaemias and related precursor neoplasms,2A60.Y
"Acute myeloid leukaemias and related precursor neoplasms, unspecified",2A60.Z
Acute leukaemias of ambiguous lineage,2A61
Precursor B-lymphoblastic neoplasms,2A70
"B Lymphoblastic leukaemia or lymphoma, not elsewhere classified",2A70.0
B lymphoblastic leukaemia or lymphoma with t(9:22) (q34;q11.2); BCR-ABL1,2A70.1
Other B-lymphoblastic leukaemia/lymphoma with recurrent genetic abnormalities,2A70.Y
Precursor T-lymphoblastic neoplasms,2A71
"Precursor lymphoid neoplasms, unspecified",2A7Z
Follicular lymphoma,2A80
Follicular lymphoma grade 1,2A80.0
Follicular lymphoma grade 2,2A80.1
Follicular lymphoma grade 3,2A80.2
Primary cutaneous follicle centre lymphoma,2A80.3
Paediatric type follicular lymphoma,2A80.4
Follicular lymphoma in situ,2A80.5
Follicular lymphoma of small intestine,2A80.6
Other specified follicular lymphoma,2A80.Y
"Follicular lymphoma, unspecified",2A80.Z
Diffuse large B-cell lymphomas,2A81
Primary mediastinal large B-cell lymphoma,2A81.0
Intravascular large B-cell lymphoma,2A81.1
Plasmablastic lymphoma,2A81.2
Lymphomatoid granulomatosis,2A81.3
T-cell/histiocyte rich large B-cell lymphoma,2A81.4
Primary diffuse large B-cell lymphoma of central nervous system,2A81.5
Epstein-Barr Virus-positive diffuse large B cell lymphoma of the elderly,2A81.6
Diffuse large B-cell lymphoma associated with chronic inflammation,2A81.7
ALK-positive large B-cell lymphoma,2A81.8
Primary effusion lymphoma,2A81.9
"Primary cutaneous diffuse large B-cell lymphoma, leg type",2A81.A
Other specified diffuse large B-cell lymphomas,2A81.Y
"Diffuse large B-cell lymphoma, not otherwise specified",2A81.Z
Mature B-cell neoplasm with leukaemic behaviour,2A82
Chronic lymphocytic leukaemia or small lymphocytic lymphoma,2A82.0
B-cell prolymphocytic leukaemia,2A82.1
Hairy-cell leukaemia,2A82.2
"Splenic B-cell lymphoma or leukaemia, unclassifiable",2A82.3
Other specified mature B-cell neoplasm with leukaemic behaviour,2A82.Y
"Mature B-cell neoplasm with leukaemic behaviour, unspecified",2A82.Z
Plasma cell neoplasms,2A83
Monoclonal gammopathy of undetermined significance,2A83.0
Plasma cell myeloma,2A83.1
Solitary plasmacytoma,2A83.2
Extraosseous plasmacytoma,2A83.3
Plasma cell leukaemia,2A83.4
Monoclonal immunoglobulin deposition disease,2A83.5
Other specified multiple myeloma and plasma cell neoplasms,2A83.Y
"Plasma cell neoplasm, unspecified",2A83.Z
Heavy chain diseases or malignant immunoproliferative diseases,2A84
Alpha heavy chain disease,2A84.0
Gamma heavy chain disease,2A84.1
Mu heavy chain disease,2A84.2
Other specified malignant immunoproliferative diseases,2A84.Y
"Heavy chain diseases, unspecified",2A84.Z
Other specified mature B-cell neoplasms or lymphoma,2A85
Nodal marginal zone lymphoma,2A85.0
Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue of stomach,2A85.1
"Extranodal marginal zone B-cell lymphoma, primary site skin",2A85.2
"Extranodal marginal zone B-cell lymphoma, primary site excluding stomach or skin",2A85.3
Lymphoplasmacytic lymphoma,2A85.4
Mantle cell lymphoma,2A85.5
Burkitt lymphoma including Burkitt leukaemia,2A85.6
Further specified mature B-cell neoplasms or lymphoma,2A85.Y
"B-cell lymphoma, mixed features",2A86
"Malignant lymphoma of B cell type, not elsewhere classified",2A86.0
B-cell lymphoma unclassifiable with features intermediate between Burkitt lymphoma and diffuse large B-cell lymphoma,2A86.1
B-cell lymphoma unclassifiable with features intermediate between classical Hodgkin lymphoma and diffuse large B-cell lymphoma,2A86.2
"Other specified B-cell lymphoma, mixed features",2A86.Y
"B-cell lymphoma, mixed features, unspecified",2A86.Z
"Mature B-cell neoplasms, unspecified",2A8Z
"Mature T-cell lymphoma, specified types, nodal or systemic",2A90
T-cell prolymphocytic leukaemia,2A90.0
T-cell large granular lymphocytic leukaemia,2A90.1
Chronic lymphoproliferative disorders of NK-cells,2A90.2
Aggressive NK cell leukaemia,2A90.3
Systemic Epstein-Barr Virus-positive T-cell lymphoma of childhood,2A90.4
"Adult T-cell lymphoma or leukaemia, human T-cell lymphotropic virus type 1-associated",2A90.5
"Extranodal NK/T-cell lymphoma, nasal type",2A90.6
Enteropathy associated T-cell lymphoma,2A90.7
Hepatosplenic T-cell lymphoma,2A90.8
Angioimmunoblastic T-cell lymphoma,2A90.9
"Anaplastic large cell lymphoma, ALK-positive",2A90.A
"Anaplastic large cell lymphoma, ALK-negative",2A90.B
"Peripheral T-cell lymphoma, not otherwise specified",2A90.C
Subcutaneous panniculitis-like T-cell lymphoma,2B00
Mycosis fungoides,2B01
Sézary syndrome,2B02
Primary cutaneous CD-30 positive T-cell lymphoproliferative disorders,2B03
Primary cutaneous CD30 positive anaplastic large cell lymphoma,2B03.0
Lymphomatoid papulosis,2B03.1
Other specified primary cutaneous mature T-cell or NK-cell lymphomas and lymphoproliferative disorders,2B0Y
Primary cutaneous T-cell lymphoma of undetermined or unspecified type,2B0Z
Other specified mature T-cell or NK-cell neoplasms,2B2Y
"Mature T-cell or NK-cell neoplasms, unspecified",2B2Z
Hodgkin lymphoma,2B30
Nodular lymphocyte predominant Hodgkin lymphoma,2B30.0
Classical Hodgkin lymphoma,2B30.1
"Hodgkin lymphoma, unspecified",2B30.Z
Histiocytic or dendritic cell neoplasms,2B31
Juvenile xanthogranuloma,2B31.0
Histiocytic sarcoma,2B31.1
Langerhans cell histiocytosis,2B31.2
Langerhans cell sarcoma,2B31.3
Interdigitating dendritic cell sarcoma,2B31.4
Follicular dendritic cell sarcoma,2B31.5
Indeterminate cell histiocytosis,2B31.6
Fibroblastic reticular cell tumour,2B31.7
Other specified histiocytic or dendritic cell neoplasms,2B31.Y
"Histiocytic or dendritic cell neoplasms, unspecified",2B31.Z
Immunodeficiency-associated lymphoproliferative disorders,2B32
"Post-transplant lymphoproliferative disorder, early lesion",2B32.0
Reactive plasmacytic hyperplasia,2B32.1
"Post-transplant lymphoproliferative disorder, Infectious mononucleosis-like",2B32.2
Polymorphic post-transplant lymphoproliferative disorder,2B32.3
Other specified immunodeficiency-associated lymphoproliferative disorders,2B32.Y
"Immunodeficiency-associated lymphoproliferative disorders, unspecified",2B32.Z
Malignant haematopoietic neoplasms without further specification,2B33
"Acute leukaemia, not elsewhere classified",2B33.0
Myeloid leukaemia,2B33.1
"Chronic myeloid leukaemia, not elsewhere classified",2B33.2
"Lymphoid leukaemia, not elsewhere classified",2B33.3
"Leukaemia, unspecified",2B33.4
"Malignant lymphoma, not elsewhere classified",2B33.5
Other malignant haematopoietic neoplasms without further specification,2B33.Y
"Neoplasms of haematopoietic or lymphoid tissues, unspecified",2B3Z
"Chondrosarcoma, primary site",2B50
Chondrosarcoma of bone or articular cartilage of limbs,2B50.0
Chondrosarcoma of bone or articular cartilage of pelvis,2B50.1
"Chondrosarcoma of bone or articular cartilage of ribs, sternum or clavicle",2B50.2
Chondrosarcoma of bone or articular cartilage of other specified sites,2B50.Y
Chondrosarcoma of bone or articular cartilage of unspecified sites,2B50.Z
"Osteosarcoma, primary site",2B51
Osteosarcoma of bone or articular cartilage of jaw,2B51.0
Osteosarcoma of bone or articular cartilage of limbs,2B51.1
Osteosarcoma of bone or articular cartilage of pelvis,2B51.2
Osteosarcoma of bone and articular cartilage of other specified sites,2B51.Y
Osteosarcoma of bone and articular cartilage of unspecified sites,2B51.Z
"Ewing sarcoma, primary site",2B52
Ewing sarcoma of bone or articular cartilage of limbs,2B52.0
Ewing sarcoma of bone or articular cartilage of pelvis,2B52.1
Ewing sarcoma of bone or articular cartilage of ribs,2B52.2
Ewing sarcoma of soft tissue,2B52.3
Ewing sarcoma of bone and articular cartilage of other specified sites,2B52.Y
Ewing sarcoma of bone and articular cartilage of unspecified sites,2B52.Z
"Fibroblastic or myofibroblastic tumour, primary site",2B53
"Myxofibrosarcoma, primary site",2B53.0
Fibroblastic or myofibroblastic tumour of skin,2B53.1
"Other specified fibroblastic or myofibroblastic tumour, primary site",2B53.Y
"Fibroblastic or myofibroblastic tumour, primary site, unspecified",2B53.Z
"Unclassified pleomorphic sarcoma, primary site",2B54
Unclassified pleomorphic sarcoma of skin,2B54.0
Unclassified pleomorphic sarcoma of retroperitoneum or peritoneum,2B54.1
"Unclassified pleomorphic sarcoma, primary site, other specified site",2B54.Y
"Unclassified pleomorphic sarcoma, primary site, unspecified site",2B54.Z
"Rhabdomyosarcoma, primary site",2B55
Rhabdomyosarcoma of the oral cavity or pharynx,2B55.0
Rhabdomyosarcoma of respiratory or intrathoracic organs,2B55.1
Rhabdomyosarcoma of male genital organs,2B55.2
"Rhabdomyosarcoma, other specified primary site",2B55.Y
"Rhabdomyosarcoma, unspecified primary site",2B55.Z
"Angiosarcoma, primary site",2B56
Angiosarcoma of heart,2B56.0
Angiosarcoma of skin,2B56.1
Angiosarcoma of breast,2B56.2
